,wikidata_id,wikiart_id
218,Q27002465,georges-braque/castle-at-la-roche-guyon-1909
219,Q27974912,henri-matisse/painters-family-1911
220,Q30076429,ernst-ludwig-kirchner/dance-school
221,Q60812545,andre-derain/banks-of-seine
222,Q28026445,thomas-gainsborough/portrait-of-queen-charlotte-1781
223,Q117353133,joshua-reynolds/the-infant-samuel
224,Q131631316,otto-dix/nelly-with-toy
225,Q3114729,joan-miro/standing-nude-1
226,Q6508100,henri-matisse/the-yellow-curtain
227,Q19925896,salvador-dali/couple-with-their-heads-full-of-clouds
228,Q57514732,henri-rousseau/portrait-of-a-woman-1895
229,Q30068038,gabriel-von-max/monkeys-as-judges-of-art-1889
230,Q26713336,nicolas-poussin/eucharist
231,Q27700075,nicolas-tournier/the-denial-of-st-peter-1625
232,Q28798129,piero-della-francesca/portrait-of-battista-sforza-1465
233,Q1999166,henri-matisse/music-1910
234,Q104521892,otto-dix/the-seven-deadly-sins-1933
235,Q19882531,marcel-duchamp/sad-young-man-in-a-train-1911
236,Q194137,caspar-david-friedrich/the-sea-of-ice-1824
237,Q3794185,marc-chagall/the-juggler-1943
238,Q15934368,simon-vouet/allegory-of-wealth-1635
239,Q28047676,thomas-gainsborough/self-portrait
240,Q28798167,rosalba-carriera/the-singer-faustina-bordoni-with-a-musical-score-1724
241,Q8024357,henri-matisse/landscape-viewed-from-a-window-1913
242,Q3399478,otto-dix/portrait-of-the-journalist-sylvia-von-harden-1926
243,Q24930037,lucas-cranach-the-elder/portrait-of-a-saxon-noblewoman-1534
244,Q1446552,salvador-dali/apparition-of-face-and-fruit-dish-on-a-beach
245,Q663481,rene-magritte/gonconda-1953
246,Q6455607,henri-matisse/asia-1946
247,Q3964348,marc-chagall/solitude-1933
248,Q28533097,henri-matisse/notre-dame-1900
249,Q3937459,pablo-picasso/portrait-of-ambroise-vollard-1910
250,Q10296499,titian/crowning-with-thorns
251,Q3612415,artemisia-gentileschi/allegoria-dell-inclinazione-1615
252,Q40047099,hans-baldung/portrait-of-ambroise-volmar-keller-1538
253,Q6455615,henri-matisse/red-studio-1911
254,Q19947392,simon-vouet/crucifixion-1637
255,Q20179293,hendrick-terbrugghen/bacchante-with-an-ape
256,Q61896321,pierre-bonnard/signac-et-ses-amis-en-bateau
257,Q12418,leonardo-da-vinci/mona-lisa
258,Q19928601,salvador-dali/impression-of-africa-1938
259,Q61387822,georges-braque/the-estaque-1906
